date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1981-09-01,364.2,9.1152,3319.75584,15.87,10.96543504171632,7.4336283185840735,0.6037194415319247,8.082226019486516
1981-10-01,437.3,9.1348,3994.64804,15.08,10.271546635182991,20.071389346512913,0.21502545199227896,20.329573394168655
1981-11-01,422.2,9.135,3856.797,13.31,9.579439252336464,-3.4530070889549513,0.0021894294346846976,-3.4508932606738485
1981-12-01,414.9,9.1305,3788.2444499999997,12.37,8.912037037037024,-1.7290383704405499,-0.049261083743845635,-1.777447711144775
1982-01-01,444.3,9.1525,4066.45575,13.22,8.25688073394495,7.086044830079552,0.24095065987623787,7.344069361732997
1982-02-01,481.3,9.2144,4434.890719999999,14.78,7.613636363636367,8.327706504614007,0.6763179459164048,9.060346224104343
1982-03-01,491.2,9.2935,4564.9672,14.68,6.884875846501148,2.0569291502181564,0.8584389650981183,2.933025596626204
1982-04-01,419.7,9.3923,3941.94831,14.94,6.621773288439958,-14.556188925081436,1.0631086243073185,-13.647828400607121
1982-05-01,432.9,9.2965,4024.4548499999996,14.45,6.911928651059096,3.1451036454610337,-1.01998445535173,2.0930396218209024
1982-06-01,438.0,9.4668,4146.4583999999995,14.15,7.182320441988943,1.1781011781011763,1.8318722099714968,3.031554696159655
1982-07-01,412.8,9.5633,3947.73024,12.59,6.557377049180335,-5.753424657534245,1.019351840114946,-4.792720457535515
1982-08-01,422.7,9.5741,4046.97207,10.12,5.965292841648595,2.398255813953476,0.11293172858741762,2.5138959342875467
1982-09-01,416.2,9.6495,4016.1218999999996,10.31,4.940923737916236,-1.5377336172226141,0.7875413877022508,-0.7623025181886178
1982-10-01,411.8,9.7005,3994.6659,9.71,5.032119914346889,-1.057184046131665,0.5285247940307825,-0.5342467319032207
1982-11-01,393.6,9.7968,3856.02048,9.2,4.47761194029852,-4.419621175327826,0.9927323333848603,-3.4707638503635563
1982-12-01,381.7,9.6926,3699.6654200000003,8.95,3.825717321997879,-3.023373983739841,-1.063612608198583,-4.054829605054378
1983-01-01,388.3,9.7938,3802.93254,8.68,3.7076271186440746,1.729106628242083,1.0440954955326598,2.7912556481931583
1983-02-01,370.9,9.9184,3678.73456,8.51,3.484688489968324,-4.481071336595422,1.2722334538177282,-3.2658475714112956
1983-03-01,385.9,9.9652,3845.5706799999994,8.77,3.590285110876445,4.044216770018871,0.47185029843521686,4.535149717352782
1983-04-01,394.3,9.9824,3936.06032,8.8,4.000000000000004,2.1767297227261118,0.17260065026292182,2.3530874226449283
1983-05-01,381.4,9.9895,3809.9952999999996,8.63,3.44108446298228,-3.27162059345677,0.07112518031735515,-3.2028223591858085
1983-06-01,377.4,10.0491,3792.5303399999993,8.98,2.4742268041237248,-1.0487676979548999,0.596626457780669,-0.4583984657408946
1983-07-01,377.7,10.0875,3810.04875,9.37,2.358974358974364,0.07949125596184992,0.3821237722781312,0.46191878322587865
1983-08-01,347.5,10.1874,3540.1215,9.56,2.456499488229258,-7.995763833730473,0.9903345724907142,-7.084614074819906
1983-09-01,347.7,10.2005,3546.7138499999996,9.45,2.763561924257929,0.057553956834532904,0.12859021929050307,0.18621818488431252
1983-10-01,341.1,10.229,3489.1119,9.48,2.752293577981657,-1.8981880931837725,0.27939806872212536,-1.6240935253347244
1983-11-01,340.2,10.3784,3530.7316799999994,9.34,3.1632653061224536,-0.26385224274407815,1.4605533287711303,1.192847383312623
1983-12-01,341.2,10.4895,3579.0173999999997,9.47,3.787103377686796,0.29394473838917357,1.0704925614738237,1.3675839564223136
1984-01-01,320.2,10.7152,3431.0070399999995,9.56,4.290091930541351,-6.1547479484173495,2.1516754850088082,-4.135502666178715
1984-02-01,302.8,10.7437,3253.1923600000005,9.59,4.693877551020398,-5.434103685196745,0.26597730327013736,-5.182579864365389
1984-03-01,299.1,10.7145,3204.7069500000002,9.91,4.892966360856277,-1.2219286657859985,-0.2717871869095445,-1.490394807148765
1984-04-01,303.9,10.82,3288.198,10.29,4.5546558704453455,1.6048144433299827,0.984646973727199,2.605263173907346
